epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,736.553,1.65374,2.41401,1.83367,0.31802,0.33,0.22605,0.08114,2.14585,2.84258,2.67718,0.000661333,0.000661333,0.000661333
2,1413.31,1.97526,2.36818,2.1218,0.04249,0.08333,0.01561,0.00362,3.6413,3.74276,3.9008,0.00130171,0.00130171,0.00130171
3,2135.86,2.0287,2.45174,2.16162,0.21959,0.21667,0.15036,0.03763,2.41407,3.41412,2.85218,0.00191568,0.00191568,0.00191568
4,2859.72,2.02727,2.42547,2.15264,0.17223,0.27333,0.12657,0.03792,2.34625,3.07301,2.72601,0.0018812,0.0018812,0.0018812
5,3566.41,1.97624,2.38675,2.09374,0.2307,0.24667,0.16017,0.05264,2.2821,3.31775,2.66908,0.0018416,0.0018416,0.0018416
6,4275.5,1.90063,2.25605,2.07053,0.30995,0.35185,0.2369,0.07786,2.21748,2.49923,2.54924,0.001802,0.001802,0.001802
7,4894.03,1.90578,2.24647,2.05486,0.27336,0.27667,0.19812,0.06221,2.37663,2.85284,2.84753,0.0017624,0.0017624,0.0017624
8,5652.24,1.83988,2.19344,2.02018,0.23821,0.41,0.23252,0.08105,2.18403,2.30557,2.45229,0.0017228,0.0017228,0.0017228
9,6453.2,1.84041,2.15053,2.00261,0.357,0.38667,0.31591,0.11583,2.02057,2.1824,2.3374,0.0016832,0.0016832,0.0016832
10,7216.58,1.77128,2.06666,1.9722,0.43659,0.31667,0.29704,0.10104,2.17126,2.46862,2.55592,0.0016436,0.0016436,0.0016436
11,7921.14,1.74091,2.04782,1.93327,0.40756,0.43569,0.37512,0.14266,1.91799,2.28962,2.21082,0.001604,0.001604,0.001604
12,8680.07,1.72098,1.98423,1.90811,0.46429,0.48245,0.43399,0.1842,1.9152,1.96241,2.2437,0.0015644,0.0015644,0.0015644
